now,cpu.total,cpu.system,cpu.idle,cpu.user,mem.percent
2024-06-26 20:34:19 +0100,100.0,0.0,0.0,0.0,5.8
2024-06-26 20:49:19 +0100,100.0,0.0,0.0,0.0,5.8
2024-06-26 21:04:19 +0100,100.0,0.0,0.0,0.0,6.0
2024-06-26 21:19:19 +0100,100.0,0.0,0.0,0.0,6.0
2024-06-26 21:34:19 +0100,100.0,0.0,0.0,0.0,6.0
2024-06-26 21:49:19 +0100,100.0,0.0,0.0,0.0,6.0
2024-06-26 22:04:19 +0100,0.4,0.0,0.0,0.0,6.0
2024-06-26 22:19:19 +0100,0.5,0.2,99.5,0.2,6.0
2024-06-26 22:34:19 +0100,0.5,0.2,99.5,0.2,6.0
2024-06-26 22:49:19 +0100,100.0,0.0,0.0,0.0,6.0
2024-06-26 23:04:19 +0100,100.0,0.0,0.0,0.0,6.0
2024-06-26 23:19:19 +0100,100.0,0.0,0.0,0.0,6.0
2024-06-26 23:34:19 +0100,100.0,0.0,0.0,0.0,6.2
2024-06-26 23:49:19 +0100,0.6,0.0,0.0,0.0,6.2
2024-06-27 00:04:19 +0100,0.6,0.0,0.0,0.0,6.3
2024-06-27 00:19:19 +0100,100.0,0.2,99.5,0.2,6.3
2024-06-27 00:34:19 +0100,100.0,0.2,99.5,0.2,6.3
2024-06-27 00:49:19 +0100,0.5,0.0,0.0,0.0,6.3
2024-06-27 01:04:19 +0100,0.5,0.0,0.0,0.0,6.3
2024-06-27 01:19:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 01:34:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 01:49:19 +0100,0.5,0.0,0.0,0.0,6.3
2024-06-27 02:04:19 +0100,0.5,0.0,0.0,0.0,6.3
2024-06-27 02:19:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 02:34:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 02:49:19 +0100,0.9,0.0,0.0,0.0,6.3
2024-06-27 03:04:19 +0100,0.9,0.0,0.0,0.0,6.3
2024-06-27 03:19:19 +0100,100.0,0.2,99.5,0.2,6.3
2024-06-27 03:34:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 03:49:19 +0100,99.6,0.0,0.0,0.0,6.3
2024-06-27 04:04:19 +0100,99.6,0.0,0.0,0.0,6.3
2024-06-27 04:19:19 +0100,0.5,0.2,99.5,0.2,6.3
2024-06-27 04:34:19 +0100,0.5,0.2,99.5,0.2,6.4
2024-06-27 04:49:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 05:04:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 05:19:19 +0100,0.5,0.2,99.5,0.2,6.4
2024-06-27 05:34:19 +0100,0.5,0.2,99.5,0.2,6.4
2024-06-27 05:49:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 06:04:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 06:19:19 +0100,0.6,0.0,0.0,0.0,6.4
2024-06-27 06:34:19 +0100,0.6,0.0,0.0,0.0,6.4
2024-06-27 06:49:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 07:04:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 07:19:19 +0100,100.0,0.2,99.5,0.2,6.4
2024-06-27 07:34:19 +0100,100.0,0.2,99.5,0.2,6.4
2024-06-27 07:49:19 +0100,0.5,0.0,0.0,0.0,6.4
2024-06-27 08:04:19 +0100,0.5,0.0,0.0,0.0,6.4
2024-06-27 08:19:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 08:34:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 08:49:19 +0100,0.5,0.2,99.5,0.3,6.4
2024-06-27 09:04:19 +0100,0.5,0.2,99.5,0.3,6.4
2024-06-27 09:19:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 09:34:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 09:49:19 +0100,100.0,0.2,99.5,0.3,6.4
2024-06-27 10:04:19 +0100,100.0,0.2,99.5,0.3,6.4
2024-06-27 10:19:19 +0100,0.5,0.0,0.0,0.0,6.4
2024-06-27 10:34:19 +0100,0.5,0.0,0.0,0.0,6.4
2024-06-27 10:49:19 +0100,0.5,0.0,0.0,0.0,6.4
2024-06-27 11:04:19 +0100,0.5,0.0,0.0,0.0,6.4
2024-06-27 11:19:19 +0100,0.5,0.0,0.0,0.0,6.4
2024-06-27 11:34:19 +0100,0.5,0.0,0.0,0.0,6.5
2024-06-27 11:49:19 +0100,100.0,0.2,99.4,0.3,6.5
2024-06-27 12:04:19 +0100,100.0,0.2,99.4,0.3,6.4
2024-06-27 12:19:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 12:34:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 12:49:19 +0100,0.6,0.3,99.4,0.3,6.4
2024-06-27 13:04:19 +0100,0.6,0.3,99.4,0.3,6.4
2024-06-27 13:19:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 13:34:19 +0100,100.0,0.0,0.0,0.0,6.4
2024-06-27 13:49:19 +0100,0.4,0.2,99.6,0.2,6.4
2024-06-27 14:04:19 +0100,0.4,0.2,99.6,0.2,6.3
2024-06-27 14:19:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 14:34:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 14:49:19 +0100,0.5,0.2,99.5,0.3,6.3
2024-06-27 15:04:19 +0100,0.5,0.2,99.5,0.3,6.3
2024-06-27 15:19:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 15:34:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 15:49:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 16:04:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 16:19:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 16:34:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 16:49:19 +0100,0.5,0.2,99.5,0.2,6.3
2024-06-27 17:04:19 +0100,0.5,0.2,99.5,0.2,6.3
2024-06-27 17:19:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 17:34:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 17:49:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 18:04:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 18:19:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 18:34:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-27 18:49:19 +0100,0.9,0.5,99.1,0.4,6.3
2024-06-27 19:04:19 +0100,0.9,0.5,99.1,0.4,6.5
2024-06-27 19:19:19 +0100,100.0,0.0,0.0,0.0,6.5
2024-06-27 19:34:19 +0100,100.0,0.0,0.0,0.0,7.2
2024-06-27 19:49:19 +0100,0.6,0.0,0.0,0.0,7.2
2024-06-27 20:04:19 +0100,0.6,0.0,0.0,0.0,7.8
2024-06-27 20:19:19 +0100,100.0,0.2,99.5,0.2,7.8
2024-06-27 20:34:19 +0100,100.0,0.2,99.5,0.2,8.3
2024-06-27 20:49:19 +0100,100.0,0.0,0.0,0.0,8.3
2024-06-27 21:04:19 +0100,100.0,0.0,0.0,0.0,8.8
2024-06-27 21:19:19 +0100,0.5,0.2,99.6,0.2,8.8
2024-06-27 21:34:19 +0100,0.5,0.2,99.6,0.2,9.3
2024-06-27 21:49:19 +0100,0.5,0.3,99.5,0.3,9.3
2024-06-27 22:04:19 +0100,0.5,0.3,99.5,0.3,9.4
2024-06-27 22:19:19 +0100,100.0,0.0,0.0,0.0,9.4
2024-06-27 22:34:19 +0100,100.0,0.0,0.0,0.0,9.9
2024-06-27 22:49:19 +0100,100.0,0.0,0.0,0.0,9.9
2024-06-27 23:04:19 +0100,100.0,0.0,0.0,0.0,10.5
2024-06-27 23:19:19 +0100,0.5,0.2,99.5,0.2,10.5
2024-06-27 23:34:19 +0100,0.5,0.2,99.5,0.2,11.1
2024-06-27 23:49:19 +0100,100.0,0.0,0.0,0.0,11.1
2024-06-28 00:04:19 +0100,100.0,0.0,0.0,0.0,11.6
2024-06-28 00:19:19 +0100,100.0,0.2,99.5,0.2,11.6
2024-06-28 00:34:19 +0100,100.0,0.2,99.5,0.2,9.2
2024-06-28 00:49:19 +0100,100.0,0.2,99.5,0.2,9.2
2024-06-28 01:04:19 +0100,100.0,0.2,99.5,0.2,9.7
2024-06-28 01:19:19 +0100,0.4,0.2,99.6,0.2,9.7
2024-06-28 01:34:19 +0100,0.4,0.2,99.6,0.2,10.3
2024-06-28 01:49:19 +0100,100.0,0.2,99.5,0.2,10.3
2024-06-28 02:04:19 +0100,100.0,0.2,99.5,0.2,10.9
2024-06-28 02:19:19 +0100,0.6,0.0,0.0,0.0,10.9
2024-06-28 02:34:19 +0100,0.6,0.0,0.0,0.0,11.5
2024-06-28 02:49:19 +0100,0.9,0.3,99.1,0.6,11.5
2024-06-28 03:04:19 +0100,0.9,0.3,99.1,0.6,11.9
2024-06-28 03:19:19 +0100,0.5,0.0,0.0,0.0,11.9
2024-06-28 03:34:19 +0100,0.5,0.0,0.0,0.0,9.5
2024-06-28 03:49:19 +0100,0.5,0.2,99.5,0.3,9.5
2024-06-28 04:04:19 +0100,0.5,0.2,99.5,0.3,10.0
2024-06-28 04:19:19 +0100,100.0,0.0,0.0,0.0,10.0
2024-06-28 04:34:19 +0100,100.0,0.0,0.0,0.0,10.6
2024-06-28 04:49:19 +0100,100.0,9.0,90.6,0.4,10.6
2024-06-28 05:04:19 +0100,100.0,9.0,90.6,0.4,11.1
2024-06-28 05:19:19 +0100,100.0,0.0,0.0,0.0,11.1
2024-06-28 05:34:19 +0100,100.0,0.0,0.0,0.0,11.7
2024-06-28 05:49:19 +0100,0.5,0.2,99.5,0.3,11.7
2024-06-28 06:04:19 +0100,0.5,0.2,99.5,0.3,9.2
2024-06-28 06:19:19 +0100,100.0,0.2,99.5,0.3,9.2
2024-06-28 06:34:19 +0100,100.0,0.2,99.5,0.3,9.7
2024-06-28 06:49:19 +0100,0.5,0.0,0.0,0.0,9.7
