name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London,UK",2024-08-18T06:00:00,14.7,14.7,8.8,67.74,0,3.2,,0,0,14.8,8.6,253.1,1015,5,24.1,0,0,0,10,Clear,clear-day,
"London,UK",2024-08-18T07:00:00,14.6,14.6,9.2,70.04,0,3.2,,0,0,17.6,10.1,258.9,1015,51.9,24.1,44,0.2,0,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-18T08:00:00,15.6,15.6,9.3,65.98,0,0,,0,0,17.5,10.7,255.4,1015,67.9,24.1,124,0.5,1,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-18T09:00:00,16.6,16.6,9.4,62.19,0,0,,0,0,17.4,11.3,251.9,1015,84,24.1,204,0.7,2,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-18T10:00:00,17.7,17.7,9.5,58.65,0,0,,0,0,17.3,11.9,248.4,1015,100,24.1,284,1,3,10,Overcast,cloudy,
"London,UK",2024-08-18T11:00:00,18.6,18.6,9.1,53.95,0,0,,0,0,18.6,12.8,250.5,1014.7,100,24.1,327.7,1.2,3,10,Overcast,cloudy,
"London,UK",2024-08-18T12:00:00,19.5,19.5,8.7,49.65,0,0,,0,0,19.9,13.8,252.5,1014.3,100,24.1,371.3,1.3,4,10,Overcast,cloudy,
"London,UK",2024-08-18T13:00:00,20.4,20.4,8.3,45.7,0,0,,0,0,21.2,14.8,254.6,1014,100,24.1,415,1.5,4,10,Overcast,cloudy,
"London,UK",2024-08-18T14:00:00,21.4,21.4,8.2,42.69,0,0,,0,0,21,14.8,260.3,1013.7,68.3,24.1,487.3,1.8,5,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-18T15:00:00,22.4,22.4,8.1,39.9,0,0,,0,0,20.8,14.8,266,1013.3,36.7,24.1,559.7,2,6,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-18T16:00:00,23.5,23.5,8.1,37.31,0,0,,0,0,20.5,14.8,271.7,1013,5,24.1,632,2.3,6,10,Clear,clear-day,
"London,UK",2024-08-18T17:00:00,23,23,8.4,39.17,0,0,,0,0,20.4,15.1,275.6,1013.3,5,24.1,542,2,5,10,Clear,clear-day,
"London,UK",2024-08-18T18:00:00,22.5,22.5,8.7,41.12,0,0,,0,0,20.3,15.5,279.5,1013.7,5,24.1,452,1.6,5,10,Clear,clear-day,
"London,UK",2024-08-18T19:00:00,22.1,22.1,9,43.17,0,0,,0,0,20.2,15.8,283.4,1014,5,24.1,362,1.3,4,10,Clear,clear-day,
"London,UK",2024-08-18T20:00:00,20.9,20.9,8.5,44.84,0,6.5,,0,0,21.6,14.2,274.8,1014.3,19.1,24.1,241.3,0.9,2,10,Clear,clear-day,
"London,UK",2024-08-18T21:00:00,19.9,19.9,8.1,46.6,0,6.5,,0,0,23,12.5,266.3,1014.7,33.2,24.1,120.7,0.4,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-18T22:00:00,18.8,18.8,7.7,48.46,0,6.5,,0,0,24.5,10.8,257.7,1015,47.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-18T23:00:00,17.9,17.9,8.3,53.19,0,6.5,,0,0,22.3,10,255.7,1015.3,64.9,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
